,Unnamed: 0.1,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
376,376,134,901005641709832,303.5418932963904,-56.1814025046824,5.69438362121582,0.0338351875543594,9.019139329051429,-999999.0,17.83355712890625,17.31523895263672,17.29772394914248,17.023090362548828,22.3353472418629,-99999.0,False,1.0686164970513323,A3667,0.0,,,,,,,,,,,,,,0.5358331797637703,22.77753448486328,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,11,2,9.0,349296.082606287,-13728.725115703142,19,301.996335408752,-56.12065593337398,False
377,377,115,901005641110349,300.8873099213427,-56.23885307966162,4.0279412269592285,0.015647605061531,8.171251595670292,-999999.0,18.42515182495117,17.958911895751953,17.899578715250154,17.215229034423828,22.227202202444456,-99999.0,False,2.116672832716741,A3667,0.0,,,,,,,,,,,,,,0.5255731097010177,16.111764907836914,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,4,2,9.0,-250639.76015449487,-26712.55506100546,19,301.996335408752,-56.12065593337398,False
378,378,177,901005803709219,303.3538163727724,-55.76037137979401,4.15534257888794,0.0410955548286438,8.909991603010445,-999999.0,18.50109100341797,17.96202278137207,17.883328226519705,17.653640747070312,22.297931633777296,-99999.0,False,1.6710582559889,A3667,0.0,,,,,,,,,,,,,,0.6177627768982639,16.621370315551758,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,2,9.0,306790.6978686225,81424.3091090739,19,301.996335408752,-56.12065593337398,False
379,379,146,901005560801702,300.5254018045227,-56.38484208263253,3.118227481842041,0.0149332797154784,8.298698355988757,-999999.0,18.45363998413086,17.90517807006836,17.58522087914412,17.583097457885742,21.61759172573589,-99999.0,False,2.3192363644956187,A3667,0.0,,,,,,,,,,,,,,0.8684191049867387,12.472909927368164,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,16,1,9.0,-332430.99455581896,-59706.0697324321,19,301.996335408752,-56.12065593337398,False
380,380,327,901005885904902,304.4394610860548,-55.60676632368753,4.376108646392822,0.0594857074320316,10.48071362982146,-999999.0,17.789854049682617,16.74424171447754,16.203103324947495,15.85311508178711,21.192556875023413,-99999.0,True,2.216260381462922,A3667,1.0,,,,,,,,,,,,,,1.586750724735122,17.50443458557129,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,73548.64172152565,191559.52485571965,20,304.11402461826043,-56.45437484074824,False
381,381,175,901005561902108,305.51091061317385,-56.46964696244328,1.5489758253097534,0.0387552492320537,8.868176440038892,-999999.0,18.48146247863769,18.06001281738281,17.78571610336089,17.843862533569336,20.25311069825471,-99999.0,False,2.122875669118615,A3667,0.0,,,,,,,,,,,,,,0.6957463752768049,6.195903301239014,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,315696.2348504325,-3451.49950307929,20,304.11402461826043,-56.45437484074824,False
382,382,1,901005481809813,304.15678382916786,-56.76003218456503,3.6421866416931152,0.0383281558752059,8.951109708737627,-999999.0,18.385862350463867,17.914581298828125,17.735623584196226,17.635276794433594,21.964266966524228,-99999.0,False,0.8941115044367395,A3667,0.0,,,,,,,,,,,,,,0.6502387662676412,14.56874656677246,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,14,1,8.0,9663.581665080072,-69078.55970259459,20,304.11402461826043,-56.45437484074824,False
383,383,9,901005402702834,304.8198057750081,-57.04737846031903,5.559833526611328,0.0313219279050827,8.963749254976415,-999999.0,18.11261749267578,17.535072326660156,17.387218519680555,17.187705993652344,22.50325594871904,-99999.0,False,1.4871482205374602,A3667,0.0,,,,,,,,,,,,,,0.7253989729952259,22.239334106445312,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,1,8.0,159506.5414249716,-134018.81802299948,20,304.11402461826043,-56.45437484074824,False
384,384,19,901005561807680,305.32684969411594,-56.52541736411487,2.3712050914764404,0.03154281899333,8.778480606827193,-999999.0,18.463193893432617,17.976238250732422,17.746850675593127,17.68284797668457,21.093958526577264,-99999.0,False,1.947462176461099,A3667,0.0,,,,,,,,,,,,,,0.7163432178394906,9.484820365905762,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,2,8.0,274098.4671433442,-16055.610280859652,20,304.11402461826043,-56.45437484074824,False
385,385,32,901005803810074,303.7836990564098,-55.8205063611278,5.203405380249023,0.060464572161436,10.047677286605769,-999999.0,17.02645492553711,16.38787269592285,16.278152407438892,15.958125114440918,21.2121856860228,-99999.0,False,1.667834148869883,A3667,1.0,,,,,,,,,,,,,,0.7483025180982175,20.813621520996094,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,-74653.57697824846,143254.27639421925,20,304.11402461826043,-56.45437484074824,False
386,386,37,901005561610055,304.48905740726786,-56.59823325393765,2.4259750843048096,0.0387457720935344,8.860247849522008,-999999.0,19.01974868774414,18.49052619934082,18.1942102395692,18.19036865234375,21.657832561988407,-99999.0,False,1.226156390538704,A3667,0.0,,,,,,,,,,,,,,0.8255384481749388,9.703900337219238,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,2,8.0,84757.4103156802,-32512.001380807375,20,304.11402461826043,-56.45437484074824,False
