,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
20,C901005560801828,300.5304119483182,-56.37978642369894,4.306755542755127,0.0574222728610038,9.96816798985599,-999999.0,16.830202102661133,16.29060173034668,16.153074546869718,15.929802894592283,20.704227518694495,-99999.0,False,2.3176280801230127,A3667,True,0.0,,,,,,,,,,,,,,0.6771275557914151,17.227022171020508,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,45,0,9.0
22,C901005641303390,301.46071989404686,-56.27505697511792,20.994911193847656,0.0114941261708736,8.99839911065187,-999999.0,15.19093894958496,14.693965911865234,15.062634345209384,14.363537788391112,22.547410803401657,-99999.0,False,1.656285935528539,A3667,False,0.0,,,,,,,,,,,,,,0.1283046043755771,83.97964477539062,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,43,0,9.0
23,C901005245302330,302.24454797191515,-57.49196366130269,3.5474853515625,0.0348159484565258,8.935216093966178,-999999.0,18.422061920166016,17.90212631225586,17.698642276373747,17.610389709472656,21.89460404811485,-99999.0,False,1.267683320180004,A3667,False,0.0,,,,,,,,,,,,,,0.7234196437922691,14.18994140625,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,47,0,1.0
25,C901005402702834,304.81980577500815,-57.04737846031903,5.559833526611328,0.0313219279050827,8.963749254976415,-999999.0,18.11261749267578,17.535072326660156,17.387218519680555,17.187705993652344,22.503255948719033,-99999.0,False,1.4871482205374602,A3667,False,0.0,,,,,,,,,,,,,,0.7253989729952259,22.239334106445312,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,48,0,1.0
30,C901005561807680,305.32684969411594,-56.525417364114865,2.3712050914764404,0.03154281899333,8.778480606827175,-999999.0,18.463193893432617,17.976238250732422,17.746850675593127,17.68284797668457,21.093958526577264,-99999.0,False,1.947462176461099,A3667,False,0.0,,,,,,,,,,,,,,0.7163432178394906,9.484820365905762,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,44,0,1.0
32,C901005721808330,300.66151534791373,-56.045275954519376,3.96170973777771,0.0564624145627021,9.906147016519894,-999999.0,17.438533782958984,16.78325843811035,16.49535559316249,16.328458786010742,21.015546384617387,-99999.0,False,2.4331432742235135,A3667,True,0.0,,,,,,,,,,,,,,0.9431781897964946,15.84683895111084,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,49,0,5.0
34,C901005722009982,301.5585719510997,-56.04411844766451,4.4649224281311035,0.0555628649890422,10.17323264818047,-999999.0,16.89295196533203,16.182910919189453,16.027068365307763,15.660858154296877,20.67485519103724,-99999.0,False,1.807902034795696,A3667,True,0.0,,,,,,,,,,,,,,0.8658836000242687,17.859689712524414,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,43,0,9.0
35,C901005641103983,300.61763788864073,-56.32467979704995,4.9289445877075195,0.0139100719243288,7.874800146063794,-999999.0,18.39063262939453,18.04991149902344,17.896366799712386,17.86176109313965,22.75655585949331,-99999.0,False,2.27595902574981,A3667,False,0.0,,,,,,,,,,,,,,0.4942658296821456,19.71577835083008,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,39,0,5.0
36,C901005803407502,301.93246775711754,-55.73403852300297,4.069699764251709,0.0155024817213416,8.902718191946624,-999999.0,17.38762664794922,16.694271087646484,16.422503040613286,16.246726989746094,20.9849576244289,-99999.0,False,1.9815972272041744,A3667,False,0.0,,,,,,,,,,,,,,0.9651236073359328,16.278799057006836,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,49,0,1.0
37,C901005481602086,302.9519365894599,-56.81179119126013,2.7785768508911133,0.0384305138140916,9.139687021883352,-999999.0,17.930137634277344,17.51973533630371,17.21846074879084,17.2630558013916,20.981722083851857,-99999.0,False,0.1397873198586508,A3667,False,0.0,,,,,,,,,,,,,,0.7116768854865043,11.114307403564451,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,45,0,5.0
