,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
409,266,901006998710180,313.6752126441677,-52.12779625819339,9.540117263793944,0.0439094159408777,10.829595881326515,-999999.0,15.942757606506348,15.008240699768066,14.5248899624619,14.24530792236328,21.14888394616939,-99999.0,True,1.336403089287307,A3716,1.0,,,,,,,,,,,,,,1.417867644044449,38.16046905517578,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,16,0,1.0,113312.90167693146,-120415.8734210573,21,313.1738281234733,-51.594982658985174,True
410,96,901006998900299,314.09516611821573,-52.17241058208904,3.737105369567871,0.009973551146686,7.591669812596159,-999999.0,18.535076141357425,18.19535446166992,18.01122935869472,18.007768630981445,22.300905859274728,-99999.0,False,1.5778168610841077,A3716,0.0,,,,,,,,,,,,,,0.5238467826627016,14.948421478271484,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,11,0,1.0,208222.38681178918,-130498.7106214744,21,313.1738281234733,-51.594982658985174,True
411,146,901007176901010,312.91894113079445,-51.75636620065364,2.09401535987854,0.0455824360251426,10.49133056675535,-999999.0,16.18523597717285,15.402626037597656,15.079028977355652,14.878945350646973,18.25040003414173,-99999.0,False,1.7825656475841225,A3716,1.0,,,,,,,,,,,,,,1.1062069998171982,8.37606143951416,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,8,0,1.0,-57604.460345419735,-36472.68041707279,21,313.1738281234733,-51.594982658985174,True
412,188,901007176807870,312.81427295446474,-51.79319936036764,3.708428382873535,0.0482940971851348,10.530498721407492,-999999.0,16.410037994384766,15.513508796691896,15.329386571463909,14.889263153076172,19.60233296012091,-99999.0,True,1.7267460374960246,A3716,1.0,,,,,,,,,,,,,,1.080651422920857,14.83371353149414,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,5,0,1.0,-81259.46819593423,-44796.97451243678,21,313.1738281234733,-51.594982658985174,True
413,21,901006910100157,312.95465147500244,-52.47357514872116,2.551965713500977,0.0273899994790554,8.447052743570023,-999999.0,19.075124740600582,18.64985084533692,18.38439212821338,18.36995506286621,21.92709970306756,-99999.0,False,0.5041412339327505,A3716,0.0,,,,,,,,,,,,,,0.6907326123872046,10.207862854003906,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0,-49533.9225544152,-198561.9026803329,21,313.1738281234733,-51.594982658985174,True
414,110,901007176902571,312.979631147937,-51.82450956561952,10.715925216674805,0.0491273923051773,10.6412094218239,-999999.0,15.6226167678833,14.855059623718262,14.756663220739336,14.276339530944824,21.24808267611299,-99999.0,False,1.6589622497191203,A3716,1.0,,,,,,,,,,,,,,0.865953547143965,42.86370086669922,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,2,0,1.0,-43888.51647119748,-51873.080899362634,21,313.1738281234733,-51.594982658985174,True
415,0,901006998703598,313.4232295059989,-52.35702879882556,3.5611824989318848,0.0439823567867279,10.073334043283214,-999999.0,16.742591857910156,16.004806518554688,15.881222459459586,15.48807144165039,20.005652352357124,-99999.0,False,0.8438437213762097,A3716,1.0,,,,,,,,,,,,,,0.8613693984505701,14.24472999572754,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,1.0,56364.71245078667,-172222.42760392727,21,313.1738281234733,-51.594982658985174,True
416,148,901007176904710,313.0690300754412,-51.760321042404094,5.699300289154053,0.05131945062589,10.40048049642941,-999999.0,16.181602478027344,15.474584579467772,15.375256178431906,14.974258422851562,20.496566961309007,-99999.0,False,1.77475678954644,A3716,1.0,,,,,,,,,,,,,,0.8063462995954378,22.79720115661621,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,2,0,1.0,-23684.35885525014,-37366.474652675905,21,313.1738281234733,-51.594982658985174,True
417,142,901007087408220,312.6123164763685,-52.05339941497317,4.357941150665283,0.0483425222337245,9.962311874233636,-999999.0,16.882003784179688,16.2779598236084,16.043293539094403,15.83949851989746,20.71724131168025,-99999.0,False,1.3204309659806217,A3716,1.0,,,,,,,,,,,,,,0.8387102450852844,17.431764602661133,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,6,0,1.0,-126901.63224568346,-103602.18685328738,21,313.1738281234733,-51.594982658985174,True
418,31,901006561303679,313.7178579848718,-53.56115391280219,2.887580156326294,0.0328883118927478,8.613397209804369,-999999.0,18.882999420166016,18.3970890045166,18.215625591541528,18.11698532104492,21.942633929483726,-99999.0,False,1.6286670424526006,A3716,0.0,,,,,,,,,,,,,,0.6673738286244877,11.550320625305176,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,1,8.0,16783.19442241127,-44902.15833990409,22,313.6435960626487,-53.36247179625394,False
