,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
37,176970156001124,175.953966834622,-2.98960273731619,1.7983104360975,0.0590999983251094,9.610244627160164,20.29690060855332,18.79193482055876,18.0795283191,17.766138314952887,17.55228341147992,20.596726323935524,0.144738480673354,,,,,,,,,,,,,,,,,,1.0257965056058715,7.19324174439,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,54,0,8.0
38,176970742402585,175.46466480818,-2.86795273038418,3.6850607888303,0.0555999986827373,10.0478493218872,19.50735522187688,17.953289944737516,17.192904789321943,16.788427879810605,16.489902646681564,21.26800275297674,0.4582496949220099,,,,,,,,,,,,,,,,,,1.1648620649269112,14.7402431553212,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,9.0
39,176970653103249,175.539171599507,-2.81262124133951,4.82907444168597,0.0540999993681907,9.6891116484194,18.19250075232428,17.083041324167333,16.75108704046088,16.538411991795826,16.431943367829742,21.4132812233792,0.6046555562852121,,,,,,,,,,,,,,,,,,0.5446293323715068,19.31629776674388,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,1.0
40,176970282104367,175.848677485759,-2.71940697945423,4.24541064840848,0.0373000018298625,9.4037673021209,18.39679108357995,17.1920362711829,16.798875836221622,16.58081980214657,16.40369860661747,21.18134904234352,0.313750578745388,,,,,,,,,,,,,,,,,,0.6112164690363286,16.98164259363392,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,76,0,8.0
41,176970890409158,175.341246036904,-2.3202000268165,5.05786242707789,0.049100000411272,9.783740792114468,18.22385598413844,16.9782063534865,16.55453934586111,16.31155678315093,16.16792933892622,21.31724908979389,0.098039273350087,,,,,,,,,,,,,,,,,,0.6666495703355686,20.23144970831156,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
42,176970919306732,175.317115105995,-2.52236216585595,3.579236501297,0.0197999998927116,8.261463874562157,19.53228526491365,18.374724333588425,18.023179285178397,17.87826514145466,17.78322032317663,22.03500594561257,0.495614121063944,,,,,,,,,,,,,,,,,,0.4964591921337664,14.316946005188,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,25,0,8.0
43,176970316707058,175.819758189238,-2.49516952505176,4.6269533970647,0.0441999994218349,8.761291076945993,19.37457852097219,18.409046358575537,18.203563160231752,18.06945907471888,18.01485670136349,22.772913468384264,0.579808142293152,,,,,,,,,,,,,,,,,,0.3395872838566589,18.5078135882588,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,6,0,5.0
44,176970141007606,175.96629060791,-2.44946065990286,4.96686011223538,0.0441399998962879,8.780826891922885,19.722784448138363,18.502684808887672,18.22540985007756,18.110435336056483,18.008932895579193,22.9486941748132,0.477159368775217,,,,,,,,,,,,,,,,,,0.3922494728311889,19.86744044894152,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,1.0
45,175970067112787,175.027751978208,-2.01771752473297,4.74536527544593,0.0577999986708164,10.299350085747706,17.834389285819285,16.53452860662864,15.99977958815414,15.685871856674174,15.52071650515738,20.62400250966475,0.533606194479129,,,,,,,,,,,,,,,,,,0.8486567499544666,18.98146110178372,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
46,176990317010803,176.319201779703,-0.183125388761076,2.14537052003303,0.093983881175518,10.68875751961768,19.78006338307815,17.892022585489798,16.991324269864872,16.561264010357917,16.33529787246716,19.89171049459889,0.317611820549454,,,,,,,,,,,,,,,,,,1.3307585751318811,8.58148208013212,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,50,0,1.0
47,176991144610199,175.629547762141,-0.233455376354544,1.54906345073021,0.0548399984836578,9.63502325472728,20.043911347237994,18.624689956791816,17.958098907125613,17.58021189799483,17.403796272700127,20.151319624518283,0.1543025245834579,,,,,,,,,,,,,,,,,,1.0444780587969866,6.19625380292084,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,4.0
48,176990764302874,175.946453505564,-0.843870502712239,3.42823306265556,0.0201996192336082,8.826954734220868,19.1890361858163,17.95368376989171,17.39025696265107,17.114249125369337,16.99049931915401,21.308483339557917,0.518104637754773,,,,,,,,,,,,,,,,,,0.8394346445223739,13.71293225062224,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,38,0,4.0
49,176991185706054,175.595278125262,-0.578860509366572,2.47245655674216,0.0432600006461143,8.865380501348069,19.095103660403623,18.107589710536747,17.921561056963572,17.766390642435958,17.609097126807747,21.130079085681167,0.2207497043265499,,,,,,,,,,,,,,,,,,0.3411990681007886,9.88982622696864,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0
