,ID,RA,DEC,Re,z,Mstar,GAL_MAG_G,r_mag,GAL_MAG_I,GAL_MAG_Z,GAL_MU_E_R,GAL_MAG_U,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,priority,g_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,N_observations_to_complete,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
169,6544,341.1474662061916,1.099014440367628,5.361411094665527,0.05851741,10.289328856997074,17.728931427001953,16.763708114624023,16.631025314331055,15.97311305999756,21.94793454722242,,,,,,,,,,,,,,,,1.0979061126708984,21.44564437866211,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,8.0,-23897.297496677995,118277.60941945351,8,341.2532064606017,0.5756621862992497,False
170,998,339.85625674049373,-1.0897008613609709,3.111466884613037,0.05268731,10.454711092585354,17.27537727355957,16.295166015625,16.022323608398438,15.53652286529541,20.163223134680013,,,,,,,,,,,,,,,,1.2530536651611328,12.445867538452148,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-87817.81710388669,-45201.3524947447,9,340.24483115245783,-0.8896948768709501,False
171,3705,340.60307697043584,-0.7355752510075256,2.946415901184082,0.05221374,10.481890931544791,16.990446090698242,16.074275970458984,15.794734001159668,15.411605834960938,19.780377339647,,,,,,,,,,,,,,,,1.1957120895385742,11.785663604736328,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,80963.55486302843,34831.03544513392,9,340.24483115245783,-0.8896948768709501,False
172,41,340.70389972594387,-0.6210377723205216,2.0200040340423584,0.0578818,10.466414813353108,17.39041519165039,16.44194221496582,16.130277633666992,15.757408142089844,19.305774400050456,,,,,,,,,,,,,,,,1.2601375579833984,8.080016136169434,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,103749.4976078441,60716.50562839683,9,340.24483115245783,-0.8896948768709501,False
173,3420,339.82669134676064,-1.007318002554005,8.198884010314941,0.0529236687744493,10.692060089933058,16.71331024169922,15.70452880859375,15.555912971496582,14.897991180419922,21.82691290528314,,,,,,,,,,,,,,,,1.1573972702026367,32.795536041259766,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-94499.59608756592,-26582.826404370404,9,340.24483115245783,-0.8896948768709501,False
174,980,340.1197057148368,-0.0659067211667599,3.5361220836639404,0.05912796,10.213822812694884,17.699058532714844,16.7977294921875,16.672855377197266,16.13317108154297,21.046698678376263,,,,,,,,,,,,,,,,1.026203155517578,14.144488334655762,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-28278.34890235113,186176.12318914698,9,340.24483115245783,-0.8896948768709501,False
175,983,340.24271129071474,-0.8317466324632008,4.514130115509033,0.0575214910327529,10.894418631788731,16.535049438476562,15.548447608947754,15.07232666015625,14.821986198425291,20.0025423797376,,,,,,,,,,,,,,,,1.4627227783203125,18.056520462036133,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-479.0887539398909,13096.303236151332,9,340.24483115245783,-0.8896948768709501,False
176,5754,339.8005187981715,-1.4237712793377664,2.399369955062866,0.0575498133445371,11.006927232112131,16.005638122558594,15.073691368103027,14.689959526062012,14.380494117736816,18.23487344334357,,,,,,,,,,,,,,,,1.315678596496582,9.597479820251465,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-100414.59206871582,-120701.2669575005,9,340.24483115245783,-0.8896948768709501,False
177,1594,339.7498005538051,-1.0598201230016062,5.635447025299072,0.05190848,10.692770700064717,16.238075256347656,15.341814994812012,15.08481502532959,14.683672904968262,20.446826842742773,,,,,,,,,,,,,,,,1.1532602310180664,22.54178810119629,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-111876.91529552398,-38448.30562552829,9,340.24483115245783,-0.8896948768709501,False
178,540,340.07642293096166,-0.3519257945897897,2.397581100463867,0.05692664,10.196905735572788,17.816848754882812,16.9052734375,16.63010597229004,16.239641189575195,20.160007892169688,,,,,,,,,,,,,,,,1.1867427825927734,9.590324401855469,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-38060.25805813647,121535.81259554224,9,340.24483115245783,-0.8896948768709501,False
179,2569,340.08409066911935,-0.7799158673042621,2.774308919906616,0.05265976,10.048061817666174,17.628751754760742,16.817806243896484,16.611705780029297,16.235877990722656,20.418874831773515,,,,,,,,,,,,,,,,1.017045974731445,11.097235679626465,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-36327.34923449789,24810.05616207148,9,340.24483115245783,-0.8896948768709501,False
