,Unnamed: 0.1,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
750,750,889,216990886601817,215.844525899581,-0.931946719242249,1.83241363831783,0.0542000010609626,9.793346086540245,19.01316867465644,17.717412038014096,17.149776268701636,16.849538746943644,16.691537438275244,19.707768527887275,0.318822765174501,,,,,,,,,,,,,,,,,,0.8678732910704525,7.32965455327132,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-188044.7086404265,57261.83269690163,39,216.67658213250323,-1.185317660378982,False
751,751,893,216990334906744,216.304301383107,-0.521367646122922,2.47489103882044,0.0546000003814697,9.76482014935026,19.1158795155934,17.837252912699856,17.257749857325805,16.95738383010095,16.78748837617173,20.468404954842,0.448050941320873,,,,,,,,,,,,,,,,,,0.8798690825989048,9.89956415528176,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-84135.44936354685,150052.70322186954,39,216.67658213250323,-1.185317660378982,False
752,752,898,216990874600567,215.854524561115,-1.03610601481387,4.04147419961488,0.0542000010609626,9.60859368113929,18.345502063140074,17.298179396338433,16.95147749006319,16.749941371676336,16.706233408913384,21.227051225043247,0.12838291875934,,,,,,,,,,,,,,,,,,0.5482380246620977,16.16589679845952,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-185785.0111337396,33721.83189771526,39,216.67658213250323,-1.185317660378982,False
753,753,917,216980450604876,216.207962171752,-1.67703006271796,3.4983282305526,0.0564999990165233,9.642492343302138,18.55705429390155,17.458755931899297,17.08539876660425,16.853283677874984,16.873763552869974,21.04757622195205,0.3301333638225849,,,,,,,,,,,,,,,,,,0.6054722540243134,13.9933129222104,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-105908.1111297772,-111127.00292860904,39,216.67658213250323,-1.185317660378982,False
754,754,927,217980584506561,217.096326196354,-1.53662282444509,4.16770621008519,0.0555999986827373,10.13550685970138,18.56986785807039,17.076875005019076,16.43247792967219,16.15049086916215,15.997789117064736,20.77483809684301,0.0587189247763819,,,,,,,,,,,,,,,,,,0.9263841358569244,16.67082484034076,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,94862.15843027434,-79394.9670789404,39,216.67658213250323,-1.185317660378982,False
755,755,934,217980364204594,217.27999437289,-1.70052055435746,2.60318161329554,0.0593000017106533,9.858419101621886,19.5843818586186,18.15459650717994,17.4769121915385,17.137502092771676,16.939755791207304,20.797309213821325,0.5891224711631831,,,,,,,,,,,,,,,,,,1.0170944144082623,10.41272645318216,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,136371.16632741096,-116435.85403913604,39,216.67658213250323,-1.185317660378982,False
756,756,935,217980601805732,217.081906967427,-1.60570657353891,3.32767125260529,0.0300942007452249,8.981742918479489,18.80490945809722,17.661027570573907,17.278411591733864,17.096168082885328,17.029677059357475,21.131988347993435,0.486927231390606,,,,,,,,,,,,,,,,,,0.5648594876885795,13.31068501042116,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,8.0,91603.4126927699,-95007.89437414374,39,216.67658213250323,-1.185317660378982,False
757,757,895,216990408805705,216.242720114488,-0.607952750797618,2.78083706494817,0.0309999994933605,8.946213464464407,18.894066963077616,17.80931883850159,17.39928657814253,17.245872558901418,17.148604040450344,20.863038976821965,0.2840551021968009,,,,,,,,,,,,,,,,,,0.5634462796001714,11.12334825979268,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,23,2,4.0,-98052.8160714395,130484.46956538822,39,216.67658213250323,-1.185317660378982,False
758,758,908,216990466803210,216.194391008139,-0.815867104796362,5.24465157483996,0.0308999996632337,8.797591872495587,19.46516388386389,18.29770938260832,17.82703778224472,17.689513507945232,17.773763641798134,22.66849567100292,0.482952367128294,,,,,,,,,,,,,,,,,,0.6081958746630853,20.97860629935984,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,4.0,-108975.19410631384,83495.82556167209,39,216.67658213250323,-1.185317660378982,False
759,759,910,216980560403121,216.116431935534,-1.8232844736564,4.23405817884523,0.0829000025987625,11.277753563762236,17.916490123286238,16.081611779905124,15.175090298380445,14.78064643204592,14.486305655816045,19.55174908624868,0.2032880604653669,,,,,,,,,,,,,,,,,,1.3009653478592045,16.93623271538092,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,4.0,-126593.94451504647,-144180.49980069647,39,216.67658213250323,-1.185317660378982,False
