,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
11,11,212990329706270,212.308636628406,-0.560866840232108,2.20956920098813,0.0540000014007091,9.847447436077122,19.336525260483576,17.83611405890332,17.19722724722424,16.87329750069105,16.70218224985703,20.161639967359623,0.069499748776169,,,,,,,,,,,,,,,,,,0.9628165582122712,8.83827680395252,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,1.0
12,12,212990541911476,212.131788966212,-0.127046598070494,6.98014932017779,0.02449999935925,9.6881343094511,16.185377701448186,15.22095092667403,14.886547086702816,14.74056569803149,14.674372050303408,20.3487453344448,0.107103428888153,,,,,,,,,,,,,,,,,,0.4803852286425396,27.92059728071116,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,107,0,8.0
13,13,212990775501832,211.937118505896,-0.930699660166879,2.00810917813898,0.0537800006568431,9.6085080501694,20.60272650694972,18.7559284063012,17.982156910934606,17.673027943698642,17.600033952892858,20.738968198217925,0.5339919514501801,,,,,,,,,,,,,,,,,,1.0829004626025591,8.03243671255592,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,65,0,1.0
14,14,212990811403320,211.907200545943,-0.80670434580172,2.59775801967744,0.0529000014066696,9.9056700425304,19.50178691031916,17.97069970174173,17.245397459077143,16.890585268825824,16.722157977294167,20.561265611962405,0.408660990779958,,,,,,,,,,,,,,,,,,1.0801144329159058,10.39103207870976,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,65,0,1.0
15,15,212990928301559,211.809771984207,-0.953443611958405,1.80481126795285,0.0543299987912178,9.728575256638322,20.58729235430825,18.9040790933019,18.05068581827057,17.666289196422085,17.444850228620552,20.57571946868767,0.3152593382412409,,,,,,,,,,,,,,,,,,1.2377898968798142,7.2192450718114,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,65,0,1.0
16,16,212990794504407,211.921286127953,-0.716123299225245,5.00831574937995,0.0249000005424022,9.130686762696389,18.307142383975723,17.103337539737588,16.684026154532326,16.458884564871425,16.34293782194503,21.42535934212244,0.706251494740779,,,,,,,,,,,,,,,,,,0.6444529748661623,20.0332629975198,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,91,0,4.0
17,17,212990670705334,212.024459780565,-0.638874669828925,3.01232230905593,0.0535999983549118,9.735919082071035,20.186753869860745,18.55576722674464,17.780681113377774,17.427378333245123,17.256519221980895,21.41806298593644,0.421128007976138,,,,,,,,,,,,,,,,,,1.128388893499519,12.04928923622372,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,1.0
18,18,212990052009601,212.540028413266,-0.283280117071601,4.14018380965975,0.0529000014066696,9.67349941095584,19.15228340471116,18.03333049926517,17.350641171380285,17.14102063760158,17.211504942622526,21.67861396662941,0.6103640164714941,,,,,,,,,,,,,,,,,,0.8923098616635876,16.560735238639,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,62,0,1.0
19,19,212990491910963,212.173455684479,-0.169794544440533,5.55729776087538,0.0524999983608722,9.604030373528037,18.66415319430443,17.51568411327923,17.093587148845018,16.868309471590738,16.789902688176475,22.060780165452595,0.643022377196136,,,,,,,,,,,,,,,,,,0.6473746416884936,22.22919104350152,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,62,0,5.0
20,20,212990671010671,212.024208125884,-0.194127888421045,5.85202154524612,0.0533999986946582,9.755560828124931,19.036747712947985,17.664732274736423,17.130864634604407,16.838886283120754,16.70630250747415,22.21026889827825,0.6994414128091411,,,,,,,,,,,,,,,,,,0.8258459916156689,23.40808618098448,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,62,0,8.0
