,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
171,901005402710811,305.15985750492,-57.11235137101848,4.737074851989746,0.0641182512044906,9.95377754679066,-999999.0,17.488182067871094,16.85552978515625,16.581758937141554,16.436477661132812,21.47595570291185,-99999.0,False,1.7899174129278606,A3667,1.0,,,,,,,,,,,,,,0.9064231307295394,18.948299407958984,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,358124.4697266062,20993.36855873568,9,303.57523595745715,-57.205242382340316,False
172,901005481604361,303.0513546024675,-56.85174144870955,1.8051499128341677,0.0591300018131732,9.772470849948167,-999999.0,19.411815643310547,18.551586151123047,17.828364471317105,18.01293182373047,21.077027206485376,-99999.0,True,0.0658314593633662,A3667,1.0,,,,,,,,,,,,,,1.583451171993442,7.22059965133667,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-118397.1862276652,79891.21100055391,9,303.57523595745715,-57.205242382340316,False
173,901005168104953,304.7370990569058,-57.71392265438882,3.204750061035156,0.054176177829504,9.605404800467957,-999999.0,18.167743682861328,17.49446678161621,17.240208553649385,17.044340133666992,21.26631228575219,-99999.0,False,1.940228943446908,A3667,1.0,,,,,,,,,,,,,,0.9275351292119433,12.819000244140623,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,262581.060475389,-114961.74148296124,9,303.57523595745715,-57.205242382340316,False
174,901005481604929,303.07553955974765,-56.69659895252979,4.38336992263794,0.0559086875845406,10.994502198507355,-999999.0,16.13046646118164,15.12073040008545,14.73124296056957,14.395261764526367,19.57264569835907,-99999.0,True,0.2050723031960131,A3667,1.0,,,,,,,,,,,,,,1.39922350061207,17.533479690551758,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-112931.38588234683,114953.41513717888,9,303.57523595745715,-57.205242382340316,False
175,901005481601195,302.9151596662735,-56.82786244686436,2.283681154251098,0.0630626901984214,10.098243861583049,-999999.0,18.1749267578125,17.298038482666016,16.923092192439917,16.69986915588379,20.33409050418017,-99999.0,True,0.1690932341182229,A3667,1.0,,,,,,,,,,,,,,1.251834565372583,9.134724617004396,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-149177.24180750645,85287.8654175664,9,303.57523595745715,-57.205242382340316,False
176,901005402300920,302.9272205552218,-57.00516496664386,2.6988718509674072,0.0586903411895036,9.984595306678182,-999999.0,18.21105194091797,17.343761444091797,17.010929464242555,16.763893127441406,20.74254744423958,-99999.0,True,0.3194099790835125,A3667,1.0,,,,,,,,,,,,,,1.2001224766754142,10.795487403869627,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-146451.48090518467,45217.4959473989,9,303.57523595745715,-57.205242382340316,False
177,901005481603892,303.02955899325525,-56.76022549140814,2.988444805145264,0.0573049932718277,9.642350090019796,-999999.0,18.917865753173828,18.057586669921875,17.75554439337712,17.48855972290039,21.67768754703105,-99999.0,True,0.12599172393033,A3667,1.0,,,,,,,,,,,,,,1.1623213597967066,11.953779220581056,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-123322.99390963,100573.81735067115,9,303.57523595745715,-57.205242382340316,False
178,901005481504364,302.58846506167544,-56.75422585875233,4.838868618011475,0.0397800467908382,9.03566439650326,-999999.0,18.357200622558597,17.79201889038086,17.74830554264143,17.444860458374023,22.45861272497463,-99999.0,False,0.4614796675474948,A3667,0.0,,,,,,,,,,,,,,0.6088950799171648,19.3554744720459,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,2,2,9.0,-223010.22244666808,101929.73433088533,9,303.57523595745715,-57.205242382340316,False
179,901005245610794,303.9922416248853,-57.3986359609976,2.559821844100952,0.056888535618782,10.411210374253129,-999999.0,17.328243255615234,16.405166625976562,16.029688994469016,15.744552612304688,19.689090011583165,-99999.0,True,1.1577879788832413,A3667,1.0,,,,,,,,,,,,,,1.2985542611462186,10.239287376403809,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,94243.28083876344,-43706.94877654664,9,303.57523595745715,-57.205242382340316,False
180,901005481609096,303.2473229397669,-56.80132459436248,2.6669771671295166,0.0475365594029426,9.674273854548536,-999999.0,17.980024337768555,17.294029235839844,17.006331255502342,16.828880310058594,20.66700040541319,-99999.0,False,0.1202650440356671,A3667,1.0,,,,,,,,,,,,,,0.9736930822662124,10.667908668518066,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-74108.34199799967,91285.42008299168,9,303.57523595745715,-57.205242382340316,False
