,ID,RA,DEC,Re,z,Mstar,GAL_MAG_U,GAL_MAG_G,r_mag,GAL_MAG_I,GAL_MU_E_G,GAL_MU_E_R,GAL_MU_E_I,GAL_MAG_Z,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,priority,g_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,N_observations_to_complete,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
509,48681077212425,49.0308211184766,-31.6474364504394,3.74243299780709,0.0293,8.83258427320532,21.1984439262378,19.0633548197519,17.7093466221686,17.2667787403064,23.171999670219147,21.81799147263585,21.375423590773647,,,,,,,,,,,,,,1.7965760794455008,14.96973199122836,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8,1,0,1.0,221977.87053199875,40146.337675207666,29,48.048618151520856,-31.82507511271908,True
510,47680957505395,47.9463706447137,-32.2335381510861,1.73547654289696,0.0384,9.162353119330303,20.1450810402124,18.1159851548147,17.1827271046418,16.8413434783518,20.555953576661352,19.62269552648845,19.28131190019845,,,,,,,,,,,,,,1.2746416764629025,6.94190617158784,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,1,0,1.0,-23107.936538416554,-92312.64667094672,29,48.048618151520856,-31.82507511271908,True
511,47680338404715,48.5565022238688,-32.2899567640199,1.54684071843721,0.0289,8.819281811863014,21.1066671243745,19.0867101440252,17.7825928885179,17.3149330260566,21.276812804518453,19.97269554901116,19.505035686549853,,,,,,,,,,,,,,1.7717771179686004,6.18736287374884,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2,1,0,1.0,114781.80035063482,-105063.25319398483,29,48.048618151520856,-31.82507511271908,True
512,46680371411877,47.4218651369763,-31.6932276756187,9.53757495546203,0.0339,10.094239218929763,16.308733755044,14.9435134945794,14.395262026428,14.1232996453649,21.08357799672084,20.53532652856944,20.263364147506337,,,,,,,,,,,,,,0.8202138492145004,38.15029982184812,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2,1,0,1.0,-141646.1812870694,29797.520784685767,29,48.048618151520856,-31.82507511271908,True
513,46680554610726,47.242597524141,-31.7894652482053,2.33255855085128,0.0431,9.374844571455483,18.831264482632,17.5016139811251,16.8724033534429,16.5399997580521,20.58365143297557,19.954440805293373,19.622037209902576,,,,,,,,,,,,,,0.9616142230729992,9.33023420340512,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13,1,0,1.0,-182160.66178784802,8047.829380114407,29,48.048618151520856,-31.82507511271908,True
514,46670706213860,47.4939217263244,-32.5283938183223,1.82575283727097,0.0296,8.585283962473135,20.1838045368467,18.5202495328351,17.8705012447284,17.6010896077255,21.07033413566935,20.42058584756265,20.15117421055975,,,,,,,,,,,,,,0.9191599251096,7.30301134908388,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2,1,0,1.0,-125361.39209439859,-158950.02746632768,29,48.048618151520856,-31.82507511271908,True
515,46680628707912,47.1701302802431,-32.0240224152096,1.91307884192864,0.0427,9.380444053828857,19.8479658701319,17.7846803477679,16.9253386853537,16.5615124963293,20.43621937234483,19.57687770993063,19.21305152090623,,,,,,,,,,,,,,1.2231678514385995,7.65231536771456,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2,1,0,1.0,-198538.25890877275,-44962.09036285756,29,48.048618151520856,-31.82507511271908,True
516,46680425006098,47.3707939768582,-32.1749198593824,1.57295567676395,0.0244,8.346085127096174,22.2840138306593,20.3346694474111,18.7112383406164,18.2044648038621,22.561126554697573,20.937695447902875,20.430921911148573,,,,,,,,,,,,,,2.130204643549,6.2918227070558,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,1,0,1.0,-153188.26347375967,-79064.91274591006,29,48.048618151520856,-31.82507511271908,True
517,47681119808117,47.7875095845235,-32.0062910584447,3.12210007402919,0.0406,9.131078843629645,19.1885899378153,17.8715484584955,17.2808347524818,16.9751908808859,21.58665723812629,20.995943532112587,20.69029966051669,,,,,,,,,,,,,,0.8963575776095993,12.48840029611676,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,1,0,1.0,-59010.53614140282,-40954.80373399061,29,48.048618151520856,-31.82507511271908,True
518,46680473210660,47.3224138471206,-31.7948512283393,2.46332069525967,0.0394,8.649167566189963,20.438394024909,19.0869276076346,18.555046696411,18.2011363247257,22.287407067029108,21.755526155805505,21.401615784120203,,,,,,,,,,,,,,0.885791282908901,9.85328278103868,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13,1,0,1.0,-164122.1727944577,6830.5978698301715,29,48.048618151520856,-31.82507511271908,True
