,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
23,23,901007087800980,313.9238999124962,-51.94379524577615,5.12755298614502,0.0160844606704548,8.749552080848243,-999999.0,16.521520614624023,16.162452697753906,16.00114108737109,15.962608337402344,20.95487816396137,-99999.0,False,1.7606984385589148,A3716,0.0,,,,,,,,,,,,,,0.5203795272529348,20.51021194458008,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,8.0
24,24,901006647204459,311.13916993709086,-53.3468652459524,11.74944305419922,0.0438273698091506,9.717144888678805,-999999.0,16.42144775390625,15.95655918121338,16.083700052882605,15.660888671875,22.54952026653189,-99999.0,False,2.2577407452212053,A3716,1.0,,,,,,,,,,,,,,0.3377477010236447,46.99777221679688,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,15,0,1.0
25,25,901007267102994,314.15247231489457,-51.561216937086016,16.883045196533203,0.0486403163617945,11.027235423526196,-999999.0,14.95235824584961,14.101425170898438,13.934808582304829,13.464356422424316,21.4815537681023,-99999.0,False,2.4725482588732866,A3716,1.0,,,,,,,,,,,,,,1.0175496635447825,67.53218078613281,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,16,0,1.0
26,26,901006910005581,312.7773224848152,-52.547662407399024,3.852920293807984,0.049193101003766,10.107365002546938,-999999.0,16.774293899536133,16.124032974243164,15.867757440163471,15.618743896484377,20.29585777979069,-99999.0,False,0.4419997631035444,A3716,1.0,,,,,,,,,,,,,,0.90653645937266,15.411681175231934,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,6,0,9.0
27,27,901006734505409,312.6377909981817,-53.118526383095805,2.787532329559326,0.0442640427500009,9.772249905031233,-999999.0,17.772235870361328,17.041032791137695,16.677923956571018,16.535737991333008,20.510007037849714,-99999.0,False,0.7570505101421319,A3716,1.0,,,,,,,,,,,,,,1.0943119137903103,11.150129318237305,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
28,28,901006734009075,310.7133044988114,-52.89770240631737,2.1368072032928467,0.0475362192066886,10.605365197317887,-999999.0,15.969369888305664,15.20380973815918,14.80329881395417,14.687495231628418,18.09551111512457,-99999.0,False,2.478152419032334,A3716,1.0,,,,,,,,,,,,,,1.1660710743514944,8.547228813171387,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,17,0,1.0
29,29,901006910101642,313.0118305479482,-52.532690881316746,9.732784271240234,0.045870795629999,10.076187637126926,-999999.0,16.36204719543457,15.705217361450195,15.726383755068992,15.249881744384766,21.889277529553706,-99999.0,False,0.396330278734387,A3716,1.0,,,,,,,,,,,,,,0.6356634403655779,38.93113708496094,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,10,0,9.0
30,30,901006822508266,314.69484046975447,-52.80767362766969,22.039045333862305,0.01622789323139,9.380150743700527,-999999.0,14.725153923034668,14.181405067443848,15.047047069291931,13.809527397155762,22.14024364036484,-99999.0,False,1.828372321535736,A3716,0.0,,,,,,,,,,,,,,-0.3218931462572652,88.15618133544922,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,11,0,9.0
31,31,901006561303679,313.7178579848718,-53.56115391280219,2.887580156326294,0.0328883118927478,8.613397209804369,-999999.0,18.882999420166016,18.3970890045166,18.215625591541528,18.11698532104492,21.942633929483726,-99999.0,False,1.6286670424526006,A3716,0.0,,,,,,,,,,,,,,0.6673738286244877,11.550320625305176,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,22,0,8.0
32,32,901006475402106,313.83419333802044,-53.78422712724782,4.086511611938477,0.0441589020192623,9.6958626239121,-999999.0,17.432647705078125,16.780513763427734,16.51811171843581,16.358613967895508,21.08015213174628,-99999.0,False,2.0385965972669178,A3716,1.0,,,,,,,,,,,,,,0.9145359866423136,16.346046447753906,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,22,0,8.0
33,33,901006909802853,311.83077246179846,-52.58471715568973,5.722416877746582,0.0455702133476734,9.65242620967332,-999999.0,17.019004821777344,16.51791763305664,16.4553269642157,16.193737030029297,21.54868977954308,-99999.0,False,1.3016932568653865,A3716,1.0,,,,,,,,,,,,,,0.5636778575616432,22.889667510986328,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
34,34,901007266704531,312.5913119862356,-51.43507768283791,14.978434562683104,0.0485512800514698,10.623618514090472,-999999.0,15.246828079223633,14.506997108459473,14.627998542146058,13.945306777954102,21.62720392232769,-99999.0,False,2.3956239245773223,A3716,1.0,,,,,,,,,,,,,,0.6188295370775752,59.91373825073242,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,13,0,1.0
