,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
23,W214000510900838,213.157618275746,-0.0135278643100263,1.56097180115575,0.0351999998092651,8.783520883798046,19.52147799101652,18.478289738815903,18.120448291754087,17.918074183238495,17.94025849816805,20.330298261661632,0.2062429361908939,True,,,True,0.0,,,,,,,,,,,,,,0.5602155555774075,6.243887204623,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,211,0,1.0
24,W214000070200963,213.524840085482,-0.0031119381684815,3.92094024689174,0.0388000011444091,8.971770052898304,19.585359414074684,18.433012040804407,17.986605819513493,17.793885175613983,17.727661316479214,22.196431620881807,0.6741380225568949,True,,,True,0.0,,,,,,,,,,,,,,0.6391268651904234,15.68376098756696,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,221,0,8.0
25,W215001067000143,213.694226207121,-0.0714383680960138,3.38053430329155,0.0773875266313552,10.904572935907453,18.896126927581292,16.92396376724005,16.019232478484916,15.60451939364438,15.340703030554252,19.907033896272026,0.554079787708128,True,,,True,0.0,,,,,,,,,,,,,,1.319444373595671,13.5221372131662,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,182,0,9.0
26,W214991082409614,213.681376721401,-0.282205018699125,6.75432069151819,0.0381999984383583,10.486680289075128,16.559072978530853,15.267319121908477,14.675534867791308,14.391186160472936,14.241464683025908,20.066317933814805,0.359013568514552,True,,,True,0.0,,,,,,,,,,,,,,0.8761329614355393,27.01728276607276,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,182,0,1.0
27,W214991178410708,213.601385010785,-0.191040037770959,4.92925544960218,0.0538999997079372,10.411047142363657,17.264778782809465,16.04468630981554,15.524657990903078,15.21918217519656,15.10735171591626,20.231439298893815,0.5302694106204799,True,,,True,0.0,,,,,,,,,,,,,,0.8255041346189778,19.71702179840872,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,211,0,1.0
28,W214991047806490,213.710197892105,-0.542534719255611,1.94062126220613,0.0869999974966049,10.648709388764557,19.496674998807777,17.67545254226045,16.791243362291475,16.40275832947434,16.189670557885588,19.473821970882316,0.100799401619148,True,,,True,0.0,,,,,,,,,,,,,,1.27269421278611,7.76248504882452,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,182,0,1.0
29,W214990804607629,213.912872444628,-0.447624497062061,2.99172443113751,0.0846000015735626,10.819364187771455,18.87904918947679,17.128763705131632,16.25486759124943,15.878942592973443,15.589833424612362,19.877350213017756,0.338741712756472,True,,,True,0.0,,,,,,,,,,,,,,1.2498211121581893,11.96689772455004,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,182,0,1.0
31,W214990957103605,213.785775275497,-0.782950560971698,8.53325373668652,0.0380423702299594,10.03624252026257,17.539325744490736,16.228842457332775,15.677737912500408,15.409102761076118,15.24951078065486,21.576185892189425,0.131806417240674,True,,,True,0.0,,,,,,,,,,,,,,0.8197396962566561,34.13301494674608,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,182,0,1.0
32,W214990991002681,213.757520587587,-0.859945897805942,10.0544006060146,0.0379999987781047,10.475176813895713,18.320064859145873,16.450734066204117,15.586903889034868,15.152599856083985,14.8327790550141,21.841559496771897,0.779723597353168,True,,,True,0.0,,,,,,,,,,,,,,1.298134210120134,40.2176024240584,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,182,0,1.0
33,W214990020004127,214.566732100004,-0.739420769738142,3.9310023617921,0.0573999993503093,10.187891118039929,19.54619690925836,17.89580044014447,17.072342594996993,16.64895135450661,16.42572509155233,21.287733800479135,0.607119681037008,True,,,True,0.0,,,,,,,,,,,,,,1.246849085637859,15.7240094471684,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,169,0,5.0
